Gal,System,Pos,Planeta / Nazwa (Aktywność),Księżyc,PZ,Status,Gracz,Sojusz,Akcja,Pozycja,PlayerId,PlanetId,Komentarz covidu,,
,,,5739 planet / 9 opuszczonych,230 moonów,,,zielony = idler,1813 idlerów,,,,, by matej & polkin3run & rabus,,
,,,,,,,,,,,,,,,
1,15,6,Main Planet,,,i,ramzes,-,Szpieguj,1618,1021,1020,,216,101506
1,15,7,Jim Lahey to chlor (*),,,,RandyBobandy,-,Szpieguj,89,18,2505,,217,101507
1,15,8,Bubbles (*),,,,RandyBobandy,-,Szpieguj,89,18,2946,,218,101508
1,15,9,Spadówa mam robotę (*),,,,RandyBobandy,-,Szpieguj,89,18,4468,,219,101509
1,16,1,,,,,,,,0,0,0,,226,101601
1,16,10,P3 (23 min),,,,mateop5,-,Szpieguj,469,2703,6090,,235,101610
1,16,11,,,,,,,,0,0,0,,236,101611
1,16,12,,,,,,,,0,0,0,,237,101612
1,16,13,,,,,,,,0,0,0,,238,101613
1,16,14,,,,,,,,0,0,0,,239,101614
1,16,15,,,,,,,,0,0,0,,240,101615
1,16,2,,,,,,,,0,0,0,,227,101602
1,16,3,,,,,,,,0,0,0,,228,101603
1,16,4,,,,,,,,0,0,0,,229,101604
1,16,5,Planeta macierzysta (54 min),,,i,enterddz,-,Szpieguj,1254,19,18,,230,101605
1,16,6,P2 (*),,,,mateop5,-,Szpieguj,469,2703,5981,,231,101606
1,16,7,,,,,,,,0,0,0,,232,101607
1,16,8,,,,,,,,0,0,0,,233,101608
1,16,9,Fred (49 min),,,,paka,-,Szpieguj,152,1155,5265,,234,101609
1,17,1,,,,,,,,0,0,0,,241,101701
1,17,10,,,,,,,,0,0,0,,250,101710
1,17,11,Lambda Centauri (*),,"Metal: 678.300, Kryształ: 417.200",,Matiz,NW,Szpieguj,579,2704,5364,,251,101711
1,17,12,,,,,,,,0,0,0,,252,101712
1,17,13,,,,,,,,0,0,0,,253,101713
1,17,14,,,,,,,,0,0,0,,254,101714
1,17,15,,,,,,,,0,0,0,,255,101715
1,17,2,,,,,,,,0,0,0,,242,101702
1,17,3,,,,,,,,0,0,0,,243,101703
1,17,4,Stój Halina,,,u,soulburner,TPCHJ,Szpieguj,526,20,19,,244,101704
1,17,5,SadSock,,,i,HappySocks,-,Szpieguj,1299,1921,1920,,245,101705
1,17,6,Sindustries,,,u,soulburner,TPCHJ,Szpieguj,526,20,2544,,246,101706
1,17,7,,,,,,,,0,0,0,,247,101707
1,17,8,Netherworld,,,u,soulburner,TPCHJ,Szpieguj,526,20,2797,,248,101708
1,17,9,Gamma Centauri (*),,,,Matiz,NW,Szpieguj,579,2704,6144,,249,101709
1,18,1,,,,,,,,0,0,0,,256,101801
1,18,10,munitalp (*),"śr: 7.549, temp: -16",,,WielokrotnieZbanowany,BEST,Szpieguj,487,2705,5419,,265,101810
1,18,11,,,,,,,,0,0,0,,266,101811
1,18,12,,,,,,,,0,0,0,,267,101812
1,18,13,,,,,,,,0,0,0,,268,101813
1,18,14,,,,,,,,0,0,0,,269,101814
1,18,15,,,,,,,,0,0,0,,270,101815
1,18,2,,,,,,,,0,0,0,,257,101802
1,18,3,,,,,,,,0,0,0,,258,101803
1,18,4,,,,,,,,0,0,0,,259,101804
1,18,5,Planeta macierzysta (*),"śr: 5.291, temp: 0",,,RIP,-,Szpieguj,410,21,20,,260,101805
1,18,6,tomcof15,,,,WielokrotnieZbanowany,BEST,Szpieguj,487,2705,5574,,261,101806
1,18,7,Legowisko,,,u,wilczur,-,Szpieguj,405,1024,2748,,262,101807
1,18,8,Ostoja,,,u,wilczur,-,Szpieguj,405,1024,3273,,263,101808
1,18,9,Nora,,,u,wilczur,-,Szpieguj,405,1024,1023,,264,101809
1,19,1,,,,,,,,0,0,0,,271,101901
1,19,10,,,,,,,,0,0,0,,280,101910
1,19,11,,,,,,,,0,0,0,,281,101911
1,19,12,,,,,,,,0,0,0,,282,101912
1,19,13,,,,,,,,0,0,0,,283,101913
1,19,14,,,,,,,,0,0,0,,284,101914
1,19,15,,,,,,,,0,0,0,,285,101915
1,19,2,,,,,,,,0,0,0,,272,101902
1,19,3,Kolonia,,,u,wilczur,-,Szpieguj,405,1024,4067,,273,101903
1,19,4,,,,,,,,0,0,0,,274,101904
1,19,5,,,,,,,,0,0,0,,275,101905
1,19,6,Wydymany_Makumba,,,,Szalony_Jogin,-,Szpieguj,1061,22,21,,276,101906
1,19,7,Planeta macierzysta (*),,,i,jahrakall,-,Szpieguj,1248,1025,1024,,277,101907
1,19,8,Polanka,,,u,wilczur,-,Szpieguj,405,1024,4929,,278,101908
1,19,9,Main Planet,,,i,plebsik,-,Szpieguj,2363,1923,1922,,279,101909
1,20,1,,,,,,,,0,0,0,,286,102001
1,20,10,Planeta macierzysta,,,u,davidow69,-,Szpieguj,1043,2706,5436,,295,102010
1,20,11,mindflayer,,,u,mindflayer,-,Szpieguj,719,23,22,,296,102011
1,20,12,,,,,,,,0,0,0,,297,102012
1,20,13,,,,,,,,0,0,0,,298,102013
1,20,14,,,,,,,,0,0,0,,299,102014
1,20,15,,,,,,,,0,0,0,,300,102015
